index,project_name,address,floor_area_sqm,type_of_land,contract_date,property_type,tenure,completion_date,type_of_sale,postal_district,postal_sector,postal_code,region,area,month,latitude,longitude,floor_num,unit_num
3766,D'LEEDON,11 Leedon Heights  #06-31 ,92,Strata,29-Sep-2017,Condominium,99 Yrs From 08/04/2010,2014,Resale,10,26,267955,Central Region,Bukit Timah,2017-9,1.31621028392,103.804388327,6.0,31.0
3767,MERGUI MANSIONS,81 Mergui Road  #03-02 ,129,Strata,29-Sep-2017,Apartment,Freehold,1995,Resale,8,21,219057,Central Region,Kallang,2017-9,1.31717013295,103.851681828,3.0,2.0
3768,MIMOSA PARK,43 Mimosa Road  #03-49 ,176,Strata,29-Sep-2017,Condominium,Freehold,1979,Resale,28,80,808005,North East Region,Serangoon,2017-9,1.38335840105,103.862457015,3.0,49.0
3769,THE PALETTE,115 Pasir Ris Grove  #03-42 ,46,Strata,29-Sep-2017,Condominium,99 Yrs From 20/10/2010,2015,Resale,18,51,518172,East Region,Pasir Ris,2017-9,1.36969528731,103.945073055,3.0,42.0
3770,RV RESIDENCES,469 River Valley Road  #07-30 ,120,Strata,29-Sep-2017,Condominium,999 Yrs From 21/06/1877,2015,Resale,10,24,248354,Central Region,Tanglin,2017-9,1.294296,103.828132,7.0,30.0
3771,CHILTERN PARK,135 Serangoon Avenue 3  #09-08 ,85,Strata,29-Sep-2017,Condominium,99 Yrs From 01/03/1991,1995,Resale,19,55,556114,North East Region,Serangoon,2017-9,1.3501952678,103.863103087,9.0,8.0
3772,THE SPRINGSIDE,204 Springside Avenue ,164,Land,29-Sep-2017,Terrace House,Freehold,2016,Resale,26,78,786050,North Region,Yishun,2017-9,1.40572268112,103.865898554,,
3773,THE WATERSIDE,3 Tanjong Rhu Road  #11-02 ,224,Strata,29-Sep-2017,Condominium,Freehold,1992,Resale,15,43,436881,Central Region,Kallang,2017-9,1.29755452549,103.884440936,11.0,2.0
3774,SERANGOON GARDEN ESTATE,39A Tavistock Avenue ,247,Land,29-Sep-2017,Semi-Detached House,999 Yrs From 01/01/1954,1995,Resale,19,55,555142,North East Region,Serangoon,2017-9,1.36969704919,103.863214937,,
3775,RIVERSAILS,10 Upper Serangoon Crescent  #02-29 ,128,Strata,29-Sep-2017,Condominium,99 Yrs From 07/12/2011,2016,Resale,19,53,534031,North East Region,Hougang,2017-9,1.37875118108,103.903047787,2.0,29.0
3776,THE WOODGROVE,3 Woodgrove Drive  #03-04 ,96,Strata,29-Sep-2017,Apartment,99 Yrs From 26/06/1996,1998,Resale,25,73,738230,North Region,Woodlands,2017-9,1.42882091358,103.781488759,3.0,4.0
3777,ONE BALMORAL,1A Balmoral Road  #05-07 ,131,Strata,29-Sep-2017,Condominium,Freehold,2016,Resale,10,25,259821,Central Region,Tanglin,2017-9,1.31388821731,103.829776363,5.0,7.0
3778,BAYSHORE PARK,66 Bayshore Road  #11-09 ,87,Strata,29-Sep-2017,Condominium,99 Yrs From 17/03/1982,1986,Resale,16,46,469985,East Region,Bedok,2017-9,1.31076921203,103.938014268,11.0,9.0
